Reaction ID,Objective Value
R00848,21.947873799725617
R00856,21.947873799725617
R00872,21.947873799725617
R00885,21.947873799725617
R00894,21.947873799725617
R00899,21.947873799725617
R00900,21.947873799725617
R00904,21.947873799725617
R00908,21.947873799725617
R00918,21.947873799725617
R00922,21.947873799725617
R00925,21.947873799725617
R00926,21.947873799725617
R00927,21.947873799725617
R00935,21.947873799725617
R00942,21.947873799725617
R00943,21.947873799725617
R00944,21.930222020842745
R00955,21.2826333711691
R00962,21.947873799725627
R00964,21.94787379972567
R00966,21.94787379972567
R00967,21.94787379972567
R00968,21.94787379972567
R00970,21.94787379972567
R00974,21.94787379972567
R00982,21.94787379972567
R00987,21.94787379972567
R00994,21.94787379972567
R00996,21.94787379972567
R00997,21.94787379972567
R00999,21.94787379972567
R01010,21.94787379972567
R01011,21.94787379972567
R01030,21.94787379972567
R01041,21.94787379972567
R01054,21.94787379972567
R01064,21.94787379972567
R01074,21.94787379972567
R01078,21.94787379972567
R01087,21.94787379972567
R01092,21.282633371169126
R01100,21.947873799725638
R01101,21.318931210915263
R01103,21.947873799725606
R01104,21.947873799725635
R01123,21.947873799725635
R01157,21.947873799725635
R01159,21.947873799725635
R01167,21.947873799725635
R01168,21.947873799725635
R01175,21.947873799725635
R01177,21.947873799725635
R01183,21.947873799725635
R01185,21.947873799725635
R01186,21.947873799725635
R01187,21.947873799725635
R01194,21.947873799725635
R01209,21.947873799725635
R01216,21.852947871613914
R01220,21.930222020842727
R01221,21.947873799725635
R01224,21.947873799725592
R01226,21.947873799725592
R01243,21.947873799725592
R01255,21.947873799725592
R01268,21.947873799725592
R01273,21.947873799725592
R01274,21.947873799725592
R01279,21.947873799725592
R01280,21.947873799725592
R01285,21.947873799725592
R01288,21.947873799725592
R01289,21.947873799725592
R01293,21.947873799725592
R01298,21.947873799725592
R01329,21.947873799725592
R01334,21.947873799725592
R01353,21.709633649932094
R01354,21.947873799725638
R01357,21.947873799725627
R01360,21.947873799725627
R01361,21.947873799725627
R01364,21.947873799725627
R01366,21.947873799725627
R01372,21.947873799725627
R01394,21.94787379972562
R01411,21.947873799725652
R01419,21.947873799725652
R01421,21.947873799725652
R01424,21.947873799725652
R01459,21.947873799725652
R01465,21.947873799725652
R01470,21.947873799725652
R01482,21.947873799725652
R01488,21.947873799725652
R01492,21.947873799725652
R01504,21.947873799725652
R01505,21.947873799725652
R01515,21.947873799725652
R01542,21.947873799725652
R01548,21.947873799725652
R01549,21.947873799725652
R01560,21.947873799725652
R01569,21.947873799725652
R01570,21.947873799725652
R01613,21.947873799725652
R01631,21.947873799725652
R01639,21.947873799725652
R01647,21.947873799725652
R01648,21.94787379972563
R01654,21.947873799725613
R01655,21.93022202084269
R01658,21.947873799725574
R01662,21.94787379972559
R01664,21.94787379972559
R01676,21.94787379972559
R01686,21.94787379972559
R01698,21.94787379972559
R01716,21.94787379972559
R01717,21.94787379972559
R01724,21.94787379972559
R01745,21.947873799725578
R01751,21.947873799725595
R01752,21.947873799725595
R01764,21.947873799725595
R01768,21.855188521855148
R01818,21.94787379972561
R01837,21.947873799725613
R01856,21.947873799725613
R01859,21.947873799725613
R01878,21.947873799725613
R01880,21.947873799725613
R01884,21.947873799725613
R01902,21.947873799725613
R01906,21.947873799725613
R01920,21.947873799725613
R01931,21.947873799725613
R01933,21.947873799725613
R01942,21.947873799725613
R01968,21.947873799725613
R01969,21.692208072523165
R01975,21.947873799725592
R01978,21.947873799725595
R01983,21.947873799725595
R01986,21.947873799725595
R01989,21.947873799725595
R02003,21.947873799725595
R02047,21.947873799725595
R02059,21.947873799725595
R02061,21.947873799725595
R02065,21.947873799725595
R02080,21.947873799725595
R02088,21.947873799725595
R02091,21.947873799725595
R02096,21.947873799725595
R02097,21.947873799725595
R02102,21.947873799725595
R02103,21.947873799725595
R02106,21.947873799725595
R02124,21.947873799725595
R02133,21.947873799725595
R02173,21.947873799725595
R02216,21.947873799725595
R02222,21.83039462636435
R02231,21.947873799725635
R02237,21.947873799725617
R02262,21.947873799725617
R02269,21.947873799725617
R02272,21.947873799725617
R02279,21.947873799725617
R02288,21.947873799725617
R02294,21.947873799725617
R02295,21.947873799725617
R02300,21.947873799725617
R02301,21.947873799725617
R02323,21.947873799725617
R02327,21.947873799725617
R02328,-5.506183251664227e-15
R02332,21.947873799725695
R02354,21.947873799725595
R02355,21.947873799725595
R02356,21.947873799725595
R02371,21.947873799725595
R02372,21.947873799725595
R02377,21.947873799725595
R02382,21.947873799725595
R02387,21.947873799725595
R02396,21.947873799725595
R02404,21.947873799725595
R02408,21.947873799725595
R02422,21.947873799725595
R02424,21.947873799725595
R02425,21.947873799725595
R02430,21.947873799725595
R02454,21.947873799725595
R02457,21.947873799725595
R02472,5.38116616451334e-15
R02473,-2.2324274671344896e-14
R02484,21.94787379972565
R02485,21.94787379972562
R02487,21.94787379972562
R02499,21.94787379972562
R02508,21.94787379972562
R02519,21.94787379972562
R02520,21.94787379972562
R02521,21.94787379972562
R02529,21.94787379972562
R02532,21.94787379972562
R02536,21.94787379972562
R02539,21.94787379972562
R02540,21.94787379972562
R02545,21.94787379972562
R02549,21.94787379972562
R02556,21.94787379972562
R02557,21.947873799725613
R02565,21.947873799725635
R02566,21.947873799725635
R02613,21.947873799725635
R02644,21.947873799725635
R02668,21.947873799725635
R02670,21.947873799725635
