,ids,growth,status
92,{'NZ_AEYC01000008.1:21977..23119'},21.947873799725638,optimal
93,{'argD'},21.947873799725638,optimal
94,{'NZ_AEYC01000001.1:169292..170101'},21.947873799725638,optimal
95,{'NZ_AEYC01000094.1:52661..53104'},21.947873799725638,optimal
96,{'NZ_AEYC01000083.1:44086..45090'},21.947873799725638,optimal
97,{'argJ'},21.947873799725638,optimal
98,{'C-NZ_AEYC01000001.1:45678..46865'},21.947873799725638,optimal
99,{'NZ_AEYC01000006.1:7218..8462'},21.947873799725517,optimal
100,{'C-NZ_AEYC01000021.1:34508..35395'},21.94787379972565,optimal
101,{'ureC'},21.94787379972565,optimal
102,{'C-NZ_AEYC01000054.1:44984..46177'},21.94787379972565,optimal
103,{'sdhB'},21.94787379972565,optimal
104,{'murC'},21.94787379972565,optimal
105,{'C-NZ_AEYC01000023.1:105113..106303'},21.94787379972565,optimal
106,{'NZ_AEYC01000083.1:49507..50256'},21.94787379972565,optimal
107,{'C-NZ_AEYC01000050.1:11011..11862'},21.947873799725652,optimal
108,{'C-NZ_AEYC01000070.1:87860..89131'},21.94787379972563,optimal
109,{'NZ_AEYC01000001.1:86532..87635'},21.94787379972563,optimal
110,{'C-NZ_AEYC01000095.1:19309..20475'},21.947873799725638,optimal
111,{'ddl'},21.947873799725638,optimal
112,{'aroE'},21.947873799725638,optimal
113,{'C-NZ_AEYC01000001.1:5879..7147'},21.947873799725638,optimal
114,{'tdh'},21.947873799725638,optimal
115,{'trpC'},21.947873799725638,optimal
116,{'C-NZ_AEYC01000095.1:77420..79123'},21.947873799725638,optimal
117,{'C-NZ_AEYC01000092.1:68362..69726'},21.947873799725638,optimal
118,{'ureA'},21.947873799725638,optimal
119,{'ilvH'},21.947873799725638,optimal
120,{'NZ_AEYC01000076.1:69490..69840'},21.947873799725638,optimal
121,{'NZ_AEYC01000001.1:286052..287047'},21.94787379972567,optimal
122,{'C-NZ_AEYC01000070.1:50289..51881'},21.94787379972567,optimal
123,{'NZ_AEYC01000004.1:112625..113473'},21.94787379972567,optimal
124,{'hisD'},21.94787379972567,optimal
125,{'NZ_AEYC01000004.1:14966..15718'},21.94787379972567,optimal
126,{'NZ_AEYC01000006.1:124335..125588'},21.94787379972567,optimal
127,{'NZ_AEYC01000001.1:332438..335815'},16.260162601626057,optimal
128,{'fumC'},20.052398226521515,optimal
129,{'purU'},21.93022202084275,optimal
130,{'C-NZ_AEYC01000088.1:423760..424932'},21.947873799725645,optimal
131,{'C-NZ_AEYC01000092.1:55321..56871'},21.94787379972559,optimal
132,{'NZ_AEYC01000004.1:141212..141943'},21.947873799725638,optimal
133,{'C-NZ_AEYC01000095.1:96597..98459'},21.947873799725638,optimal
134,{'pyrE'},21.947873799725638,optimal
135,{'C-NZ_AEYC01000070.1:49067..50242'},21.947873799725638,optimal
136,{'C-NZ_AEYC01000054.1:43256..44365'},21.947873799725638,optimal
137,{'C-NZ_AEYC01000094.1:62798..64018'},21.947873799725638,optimal
138,{'C-NZ_AEYC01000092.1:60953..61903'},21.947873799725638,optimal
139,{'NZ_AEYC01000007.1:118125..119327'},21.947873799725638,optimal
140,{'NZ_AEYC01000016.1:20370..21809'},21.947873799725638,optimal
141,{'C-NZ_AEYC01000074.1:53965..55167'},21.947873799725638,optimal
142,{'NZ_AEYC01000021.1:21202..22068'},21.947873799725638,optimal
143,{'sucC'},21.94787379972559,optimal
144,{'C-NZ_AEYC01000034.1:119377..120519'},21.94787379972559,optimal
145,{'dcd'},21.94787379972559,optimal
146,{'C-NZ_AEYC01000094.1:14369..15457'},21.947873799725638,optimal
147,{'C-NZ_AEYC01000050.1:2682..3422'},21.947873799725638,optimal
148,{'NZ_AEYC01000088.1:111629..112768'},21.947873799725638,optimal
149,{'hppA'},19.607843137254893,optimal
150,{'C-NZ_AEYC01000092.1:60657..60956'},21.94787379972565,optimal
151,{'fabG'},21.947873799725652,optimal
152,{'C-NZ_AEYC01000095.1:18421..19305'},21.947873799725652,optimal
153,{'NZ_AEYC01000021.1:57863..59557'},21.947873799725652,optimal
154,{'C-NZ_AEYC01000007.1:141023..142009'},21.90395956192081,optimal
155,{'NZ_AEYC01000007.1:176966..177736'},21.947873799725627,optimal
156,{'C-NZ_AEYC01000014.1:64384..65199'},21.947873799725635,optimal
157,{'C-NZ_AEYC01000019.1:316021..316419'},21.94787379972563,optimal
158,{'kgd'},21.94787379972563,optimal
