,ids,growth,status
179,{'R05661'},21.94787379972562,optimal
180,{'R00935'},21.94787379972562,optimal
181,{'R00200'},21.94787379972562,optimal
182,{'R04964'},21.94787379972563,optimal
183,{'R01126'},21.94787379972563,optimal
184,{'R00662'},21.94787379972563,optimal
185,{'R00344'},16.26016260162603,optimal
186,{'R07075'},21.94787379972546,optimal
187,{'R08091'},21.947873799725635,optimal
188,{'R08180'},21.947873799725635,optimal
189,{'R00519'},21.947873799725635,optimal
190,{'R08092'},21.947873799725635,optimal
191,{'R04749'},21.947873799725635,optimal
192,{'R03893'},21.947873799725635,optimal
193,{'R02722'},21.947873799725635,optimal
194,{'R04734'},21.947873799725635,optimal
195,{'R00130'},-2.7312930609975902e-14,optimal
196,{'R05238'},21.947873799725635,optimal
197,{'R02814'},21.830394626364363,optimal
198,{'R01799'},21.947873799725656,optimal
199,{'R05086'},21.94787379972564,optimal
200,{'R03089'},21.94787379972564,optimal
201,{'R07764'},21.94787379972564,optimal
202,{'R03051'},21.947873799725645,optimal
203,{'EX_C00064_e'},21.947873799725595,optimal
204,{'R02404'},21.947873799725595,optimal
205,{'R00278'},21.947873799725595,optimal
206,{'R00742'},21.947873799725595,optimal
207,{'R01087'},21.947873799725595,optimal
208,{'EX_C00262_e'},21.692208072523428,optimal
209,{'R05224'},21.947873799725635,optimal
210,{'R04355'},21.94787379972562,optimal
211,{'R07014'},21.94787379972562,optimal
212,{'R00946'},1.3430332619752289e-14,optimal
213,{'R07889'},21.94787379972548,optimal
214,{'R07023'},21.94787379972562,optimal
215,{'R01273'},21.94787379972562,optimal
216,{'EX_C00794_e'},21.94787379972562,optimal
217,{'R03209'},21.94787379972562,optimal
218,{'R06979'},21.94787379972562,optimal
219,{'R04573'},21.94787379972562,optimal
220,{'R06406'},21.94787379972562,optimal
221,{'R04928'},21.94787379972562,optimal
222,{'EX_C00147_e'},21.947873799725585,optimal
223,{'R03991'},21.94787379972564,optimal
224,{'EX_C00208_e'},21.94787379972564,optimal
225,{'R01942'},21.94787379972564,optimal
226,{'R00156'},21.828103683492458,optimal
227,{'R07083'},21.94787379972567,optimal
228,{'R02035'},20.40544145105379,optimal
229,{'R02788'},21.94787379972565,optimal
230,{'R_L-Histidine1'},21.94787379972561,optimal
231,{'R05593'},21.94787379972561,optimal
232,{'R01686'},21.94787379972561,optimal
233,{'R05664'},21.94787379972561,optimal
234,{'R_Cell'},21.94787379972561,optimal
235,{'R_(R)-Lactate'},21.94787379972561,optimal
236,{'R04968'},21.94787379972561,optimal
237,{'R02532'},21.94787379972561,optimal
238,{'R03968'},21.94787379972561,optimal
239,{'R02036'},21.94787379972561,optimal
240,{'R_Choline'},21.94787379972561,optimal
241,{'R00372'},21.947873799725627,optimal
242,{'R00429'},21.947873799725595,optimal
243,{'R06908'},21.947873799725595,optimal
244,{'R03751'},21.947873799725595,optimal
245,{'R07675'},21.947873799725595,optimal
246,{'R03990'},21.947873799725638,optimal
247,{'R04960'},21.947873799725638,optimal
248,{'R04885'},21.947873799725638,optimal
249,{'R03065'},21.947873799725638,optimal
250,{'R01158'},21.947873799725638,optimal
251,{'R07665'},21.947873799725638,optimal
252,{'R05654'},21.947873799725638,optimal
253,{'R07710'},21.947873799725638,optimal
254,{'R00756'},21.947873799725638,optimal
255,{'R08272'},21.947873799725638,optimal
256,{'R00066'},21.947873799725638,optimal
257,{'R01290'},21.947873799725638,optimal
258,{'R04035'},21.947873799725638,optimal
259,{'R05452'},21.947873799725638,optimal
260,{'R04834'},21.947873799725638,optimal
261,{'R_L-Valine2'},21.947873799725638,optimal
262,{'R01528'},21.947873799725638,optimal
263,{'R01715'},21.947873799725638,optimal
264,{'R07762'},21.947873799725638,optimal
265,{'R_Cytidine'},21.947873799725638,optimal
266,{'R06171'},21.947873799725638,optimal
267,{'R05553'},21.947873799725638,optimal
268,{'R04150'},21.947873799725638,optimal
269,{'R02288'},21.947873799725638,optimal
270,{'R01083'},21.947873799725638,optimal
271,{'R02173'},21.947873799725638,optimal
272,{'R03223'},21.947873799725638,optimal
273,{'R08097'},21.947873799725638,optimal
