reaction	substrate
R01991	C00334
R03286	C00099
R03286	C01152
R11064	C00041
R11064	C20941
R01701	C00141
R01701	C15972
R01702	C00233
R01702	C15972
R04225	C00671
R04225	C15972
R07599	C00068
R07599	C00141
R07600	C15972
R07600	C15976
R07601	C00068
R07601	C00233
R07602	C15972
R07602	C15974
R07603	C00068
R07603	C00671
R07604	C15972
R07604	C15978
R10996	C00068
R10996	C00109
R10997	C15972
R10997	C21017
R12161	C00019
R12161	C00082
R12161	C04732
R12162	C00019
R12162	C21971
R04464	C01080
R04464	C04377
R11130	C00028
R11130	C20870
R01364	C00122
R01364	C00164
R10504	C20657
R05727	C00007
R05727	C03024
R05727	C06526
R07000	C00007
R07000	C00829
R07001	C00007
R07001	C00829
R07055	C00007
R07055	C01595
R07056	C00007
R07056	C01595
R07079	C00007
R07079	C07535
R07080	C00007
R07080	C07535
R07081	C00007
R07081	C07535
R07085	C00007
R07085	C14852
R07087	C00007
R07087	C14556
R08256	C16641
R08257	C00007
R08257	C03024
R08257	C16641
R08264	C00007
R08264	C03024
R08264	C06174
R08268	C07108
R08269	C05011
R08271	C00007
R08271	C07108
R08272	C16546
R08274	C00007
R08274	C16546
R08275	C00007
R08275	C07888
R08276	C07888
R08277	C07643
R08285	C00007
R08285	C07047
R08293	C07073
R08294	C00007
R08294	C07073
R08303	C00007
R08303	C07501
R08304	C00007
R08304	C07501
R08312	C00007
R08312	C06868
R08313	C00007
R08313	C06868
R08318	C16601
R08339	C07163
R08340	C16659
R08341	C08012
R08342	C16661
R08343	C07572
R09423	C00007
R09423	C16453
R00095	C00072
R00524	C00488
R12217	C03196
R12217	C15602
R05554	C02091
R00192	C00021
R00987	C00328
R02668	C03227
R03936	C02700
R00678	C00007
R00678	C00078
R00945	C00037
R00945	C00143
R09099	C00065
R09099	C01217
R00610	C00007
R00610	C00213
R12967	C00007
R12967	C00101
R12967	C00213
R00590	C00065
R00944	C00234
R12425	C22158
R12425	C22159
R12432	C02972
R12432	C22158
R00894	C00025
R00894	C00097
R02519	C00007
R02519	C00544
R00026	C00185
R00306	C00185
R02558	C00844
R02887	C01898
R02985	C00031
R02985	C00844
R03527	C00963
R04949	C05713
R04998	C05839
R10035	C05143
R10039	C08334
R10040	C01594
R13051	C10216
R13052	C09126
R13065	C05623
R13081	C09099
R01152	C00436
R02050	C00022
R02050	C01205
R10992	C00041
R10992	C00109
R02269	C00429
R03055	C21028
R08227	C16630
R01320	C00019
R01320	C04308
