Metabolite ID,Name,Formula/Composition,Compartment
C05688,L-Selenocysteine,C3H7NO2Se,Cytosol
C00188,L-Threonine,C4H9NO3,Cytosol
C05852,2-Hydroxyphenylacetate,C8H8O3,Cytosol
C00544,Homogentisate,C8H8O4,Cytosol
C00310,D-Xylulose,C5H10O5,Cytosol
C00231,D-Xylulose 5-phosphate,C5H11O8P,Cytosol
C00341,Geranyl diphosphate,C10H20O7P2,Cytosol
C00129,Isopentenyl diphosphate,C5H12O7P2,Cytosol
C16826,"2-cis,6-trans-Farnesyl diphosphate",C15H28O7P2,Cytosol
C00122,Fumarate,C4H4O4,Cytosol
C00354,"D-Fructose 1,6-bisphosphate",C6H14O12P2,Cytosol
C05378,"beta-D-Fructose 1,6-bisphosphate",C6H14O12P2,Cytosol
C11811,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,C5H12O8P2,Cytosol
C00138,Reduced ferredoxin,,Cytosol
C00139,Oxidized ferredoxin,,Cytosol
C00235,Dimethylallyl diphosphate,C5H12O7P2,Cytosol
C04506,Protein C-terminal S-farnesyl-L-cysteine,C20H33N2O3SR(C2H2NOR)n,Cytosol
C00132,Methanol,CH4O,Cytosol
C04748,Protein C-terminal S-farnesyl-L-cysteine methyl ester,C21H35N2O3SR(C2H2NOR)n,Cytosol
C00048,Glyoxylate,C2H2O3,Cytosol
C00515,D-Ornithine,C5H12N2O2,Cytosol
C01110,5-Amino-2-oxopentanoic acid,C5H9NO3,Cytosol
C00763,D-Proline,C5H9NO2,Cytosol
C03564,1-Pyrroline-2-carboxylate,C5H7NO2,Cytosol
C00792,D-Arginine,C6H14N4O2,Cytosol
C03771,5-Guanidino-2-oxopentanoate,C6H11N3O3,Cytosol
C03440,cis-4-Hydroxy-D-proline,C5H9NO3,Cytosol
C04282,1-Pyrroline-4-hydroxy-2-carboxylate,C5H7NO3,Cytosol
C00916,Cephalosporin C,C16H21N3O8S,Cytosol
C04712,(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate,C16H18N2O9S,Cytosol
C15522,4a-Hydroxytetrahydrobiopterin,C9H15N5O4,Cytosol
C00268,Dihydrobiopterin,C9H13N5O3,Cytosol
C00091,Succinyl-CoA,C25H40N7O19P3S,Cytosol
C03972,"2,3,4,5-Tetrahydrodipicolinate",C7H9NO4,Cytosol
C04462,N-Succinyl-2-L-amino-6-oxoheptanedioate,C11H15NO8,Cytosol
C04421,"N-Succinyl-LL-2,6-diaminoheptanedioate",C11H18N2O7,Cytosol
C00666,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,Cytosol
C20062,"2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA",C29H42N7O18P3S,Cytosol
C19975,2-Oxepin-2(3H)-ylideneacetyl-CoA,C29H42N7O18P3S,Cytosol
C19945,"3-Oxo-5,6-dehydrosuberyl-CoA",C29H44N7O20P3S,Cytosol
C14144,5-Carboxy-2-pentenoyl-CoA,C27H42N7O19P3S,Cytosol
C05726,S-Substituted L-cysteine,C3H6NO2SR,Cytosol
C00088,Nitrite,HNO2,Cytosol
C00244,Nitrate,HNO3,Cytosol
C00125,Ferricytochrome c,C42H44FeN8O8S2R4,Cytosol
C00126,Ferrocytochrome c,C42H44FeN8O8S2R4,Cytosol
C15603,Hydroquinone,,Cytosol
C15602,Quinone,,Cytosol
C21113,NMNH,C11H17N2O8P,Cytosol
C00363,dTDP,C10H16N2O11P2,Cytosol
C00365,dUMP,C9H13N2O8P,Cytosol
C06001,(S)-3-Hydroxyisobutyrate,C4H8O3,Cytosol
C06002,(S)-Methylmalonate semialdehyde,C4H6O3,Cytosol
C06481,L-Seryl-tRNA(Sec),C13H22NO12PR2(C5H8O6PR)n,Cytosol
C05172,Selenophosphoric acid,H3PO3Se,Cytosol
C06482,L-Selenocysteinyl-tRNA(Sec),C13H22NO11PSeR2(C5H8O6PR)n,Cytosol
C01271,(3R)-3-Hydroxyacyl-[acyl-carrier protein],C3H4O2SR2,Cytosol
C00685,3-Oxoacyl-[acyl-carrier protein],C3H2O2SR2,Cytosol
C04618,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein],C4H7O2SR,Cytosol
C05744,Acetoacetyl-[acp],C4H5O2SR,Cytosol
C04619,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein],C10H19O2SR,Cytosol
C05753,3-Oxodecanoyl-[acp],C10H17O2SR,Cytosol
C04620,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C8H15O2SR,Cytosol
C05750,3-Oxooctanoyl-[acp],C8H13O2SR,Cytosol
C04633,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein],C16H31O2SR,Cytosol
C05762,3-Oxohexadecanoyl-[acp],C16H29O2SR,Cytosol
C04688,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C14H27O2SR,Cytosol
C05759,3-Oxotetradecanoyl-[acp],C14H25O2SR,Cytosol
C05747,(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C6H11O2SR,Cytosol
C05746,3-Oxohexanoyl-[acp],C6H9O2SR,Cytosol
C05757,(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C12H23O2SR,Cytosol
