Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID
C00385,Xanthine,C5H4N4O2,Cytosol,3675
C02380,6-Mercaptopurine,C5H4N4S,Cytosol,5422
C04646,6-Thioinosine-5'-monophosphate,C10H13N4O7PS,Cytosol,7235
C16614,6-Methylmercaptopurine,C6H6N4S,Cytosol,51090940
C16615,6-Methylthiopurine 5'-monophosphate ribonucleotide,C11H15N4O7PS,Cytosol,51090941
C07648,Thioguanine,C5H5N5S,Cytosol,9850
C16619,6-Thioguanosine monophosphate,C10H14N5O7PS,Cytosol,51090945
C00044,GTP,C10H16N5O14P3,Cytosol,3346
C00058,Formate,CH2O2,Cytosol,3358
C05922,Formamidopyrimidine nucleoside triphosphate,C10H18N5O15P3,Cytosol,8210
C06148,"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",C9H18N5O14P3,Cytosol,8404
C05923,"2,5-Diaminopyrimidine nucleoside triphosphate",C9H18N5O14P3,Cytosol,8211
C01300,"6-(Hydroxymethyl)-7,8-dihydropterin",C7H9N5O2,Cytosol,4518
C00568,4-Aminobenzoate,C7H7NO2,Cytosol,3847
C00921,Dihydropteroate,C14H14N6O3,Cytosol,4175
C04807,"6-Hydroxymethyl-7,8-dihydropterin diphosphate",C7H11N5O8P2,Cytosol,7369
C00266,Glycolaldehyde,C2H4O2,Cytosol,3564
C21065,"7,8-Dihydroxanthopterin",C6H7N5O2,Cytosol,295369327
C21008,"7,8-Dihydromonapterin",C9H13N5O4,Cytosol,254741466
C00522,(R)-Pantoate,C6H12O4,Cytosol,3805
C00099,beta-Alanine,C3H7NO2,Cytosol,3399
C00864,Pantothenate,C9H17NO5,Cytosol,4121
C00831,Pantetheine,C11H22N2O4S,Cytosol,4089
C01134,Pantetheine 4'-phosphate,C11H23N2O7PS,Cytosol,4365
C03492,D-4'-Phosphopantothenate,C9H18NO8P,Cytosol,6304
C04079,N-((R)-Pantothenoyl)-L-cysteine,C12H22N2O6S,Cytosol,6773
C04352,(R)-4'-Phosphopantothenoyl-L-cysteine,C12H23N2O9PS,Cytosol,7001
C11434,2-C-Methyl-D-erythritol 4-phosphate,C5H13O7P,Cytosol,13606
C00063,CTP,C9H16N3O14P3,Cytosol,3363
C11435,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H25N3O14P2,Cytosol,13607
C11436,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H26N3O17P3,Cytosol,13608
C11453,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",C5H12O9P2,Cytosol,13625
C00055,CMP,C9H14N3O8P,Cytosol,3357
C03283,"L-2,4-Diaminobutanoate",C4H10N2O2,Cytosol,6142
C00461,Chitin,(C8H13NO5)n,Cytosol,3745
C00668,alpha-D-Glucose 6-phosphate,C6H13O9P,Cytosol,3937
C00015,UDP,C9H14N2O12P2,Cytosol,3317
C00689,"alpha,alpha'-Trehalose 6-phosphate",C12H23O14P,Cytosol,3958
C00498,ADP-glucose,C16H25N5O15P2,Cytosol,3781
C00092,D-Glucose 6-phosphate,C6H13O9P,Cytosol,3392
C01083,"alpha,alpha-Trehalose",C12H22O11,Cytosol,4320
C01137,S-Adenosylmethioninamine,C14H23N6O3S,Cytosol,4368
C00134,Putrescine,C4H12N2,Cytosol,3434
C00170,5'-Methylthioadenosine,C11H15N5O3S,Cytosol,3470
C00315,Spermidine,C7H19N3,Cytosol,3609
C01672,Cadaverine,C5H14N2,Cytosol,4816
C16565,Aminopropylcadaverine,C8H21N3,Cytosol,51090894
C20258,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",C7H9NO5,Cytosol,163311998
C00085,D-Fructose 6-phosphate,C6H13O9P,Cytosol,3385
C00352,D-Glucosamine 6-phosphate,C6H14NO8P,Cytosol,3645
C04752,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,C6H11N3O7P2,Cytosol,7322
C04327,4-Methyl-5-(2-phosphooxyethyl)thiazole,C6H10NO4PS,Cytosol,6980
C01081,Thiamin monophosphate,C12H18N4O4PS,Cytosol,4319
C20247,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,C7H10NO6PS,Cytosol,163311990
C00037,Glycine,C2H5NO2,Cytosol,3339
C15809,Iminoglycine,C2H3NO2,Cytosol,47205134
C00027,Hydrogen peroxide,H2O2,Cytosol,3329
C11437,1-Deoxy-D-xylulose 5-phosphate,C5H11O7P,Cytosol,13609
C15814,Thiocarboxy-[sulfur-carrier protein],C4H7N2O2SR,Cytosol,47205139
C20246,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",C7H10NO6PS,Cytosol,163311989
C15810,Sulfur-carrier protein,C4H7N2O3R,Cytosol,47205135
C01279,4-Amino-5-hydroxymethyl-2-methylpyrimidine,C6H9N3O,Cytosol,4498
C04556,4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,C6H10N3O4P,Cytosol,7161
C03373,Aminoimidazole ribotide,C8H14N3O7P,Cytosol,6208
C00019,S-Adenosyl-L-methionine,C15H22N6O5S,Cytosol,3321
C05198,5'-Deoxyadenosine,C10H13N5O3,Cytosol,7603
C00073,L-Methionine,C5H11NO2S,Cytosol,3373
C00237,CO,CO,Cytosol,3536
C00269,CDP-diacylglycerol,C14H19N3O15P2R2,Cytosol,3567
C00065,L-Serine,C3H7NO3,Cytosol,3365
C02737,Phosphatidylserine,C8H12NO10PR2,Cytosol,5698
C00350,Phosphatidylethanolamine,C7H12NO8PR2,Cytosol,3643
C19848,Adenylated molybdopterin,C20H26N10O12P2S2,Cytosol,135626315
C06232,Molybdate,H2MoO4,Cytosol,8475
C18237,Molybdoenzyme molybdenum cofactor,C10H12MoN5O8PS2,Cytosol,103061419
C02730,2-Succinylbenzoate,C11H10O5,Cytosol,5692
C05817,"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C11H12O6,Cytosol,8112
C02137,alpha-Oxo-benzeneacetic acid,C8H6O3,Cytosol,5216
C00261,Benzaldehyde,C7H6O,Cytosol,3559
C03590,4-Hydroxyphenylglyoxylate,C8H6O4,Cytosol,6381
C00633,4-Hydroxybenzaldehyde,C7H6O2,Cytosol,3906
C00149,(S)-Malate,C4H6O5,Cytosol,3449
C21310,"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate",C10H16N5O14P3,Cytosol,319075052
C18239,Precursor Z,C10H14N5O8P,Cytosol,103061421
C00030,Reduced acceptor,,Cytosol,3332
C00028,Acceptor,,Cytosol,3330
C00206,dADP,C10H15N5O9P2,Cytosol,3506
C00343,Thioredoxin disulfide,C10H12N4O4S2R4,Cytosol,3636
C00342,Thioredoxin,C10H14N4O4S2R4,Cytosol,3635
C01346,dUDP,C9H14N2O11P2,Cytosol,4551
C00361,dGDP,C10H15N5O10P2,Cytosol,3652
C00035,GDP,C10H15N5O11P2,Cytosol,3337
C00705,dCDP,C9H15N3O10P2,Cytosol,3972
C00112,CDP,C9H15N3O11P2,Cytosol,3412
C00988,2-Phosphoglycolate,C2H5O6P,Cytosol,4234
C00160,Glycolate,C2H4O3,Cytosol,3460
C01005,O-Phospho-L-serine,C3H8NO6P,Cytosol,4251
C03232,3-Phosphonooxypyruvate,C3H5O7P,Cytosol,6103
C06055,O-Phospho-4-hydroxy-L-threonine,C4H10NO7P,Cytosol,8325
C06054,2-Oxo-3-hydroxy-4-phosphobutanoate,C4H7O8P,Cytosol,8324
C00158,Citrate,C6H8O7,Cytosol,3458
C00036,Oxaloacetate,C4H4O5,Cytosol,3338
C00086,Urea,CH4N2O,Cytosol,3386
C00288,HCO3-,HCO3,Cytosol,3583
C00647,Pyridoxamine phosphate,C8H13N2O5P,Cytosol,3919
C00018,Pyridoxal phosphate,C8H10NO6P,Cytosol,3320
C00627,Pyridoxine phosphate,C8H12NO6P,Cytosol,3900
C00534,Pyridoxamine,C8H12N2O2,Cytosol,3816
C00250,Pyridoxal,C8H9NO3,Cytosol,3549
C00314,Pyridoxine,C8H11NO3,Cytosol,3608
C00221,beta-D-Glucose,C6H12O6,Cytosol,3521
C00984,alpha-D-Galactose,C6H12O6,Cytosol,4231
C00095,D-Fructose,C6H12O6,Cytosol,3395
