Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
G13121,Glycan,(Galf)2 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,,
G10619,Glycan,(UDP)1,Cytosol,,
G13122,Glycan,(Galf)3 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,,
C04895,"7,8-Dihydroneopterin 3'-triphosphate",C9H16N5O13P3,Cytosol,7446,C1=CC(=O)C(=N)C=C1N(O)O
C04874,"7,8-Dihydroneopterin",C9H13N5O4,Cytosol,7426,CC1=CC(=CC(=C1)[N+](=O)[O-])C
C00009,Orthophosphate,H3PO4,Cytosol,3311,CCSC(=NC1=CC=C(C=C1)C(F)(F)F)N
G13119,Glycan,(GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,,
G13120,Glycan,(Galf)1 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,,
C00026,2-Oxoglutarate,C5H6O5,Cytosol,3328,CC(=CCCC(=CCCC(=CCSCC(=O)O)C)C)C
C00082,L-Tyrosine,C9H11NO3,Cytosol,3382,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
C01179,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,Cytosol,4406,C1CCN(CC1)C(=O)C(CC2=CC=C(C=C2)C(=N)N)NC(=O)CNS(=O)(=O)C3=CC4=CC=CC=C4C=C3
C01100,L-Histidinol phosphate,C6H12N3O4P,Cytosol,4334,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)O)C=O)NC(=O)C(CC1=CC=C(C=C1)O)N(C)C(=O)C
C01267,3-(Imidazol-4-yl)-2-oxopropyl phosphate,C6H9N2O5P,Cytosol,4486,CN1C(=CC(=O)N(C1=O)C)NCCN(CCCC2=CC=C(C=C2)[N+](=O)[O-])CCO
C04431,cis-4-Carboxymethylenebut-2-en-4-olide,C6H4O4,Cytosol,7062,
C02222,2-Maleylacetate,C6H6O5,Cytosol,5287,CC(=CC=CC(=C1C(=O)CC2C1(CCC3C2(CCC(=O)C3(C)C)C)C)C)C=CC=C(C)C(=O)O
C07090,Protoanemonin,C5H4O2,Cytosol,9301,CN1CCC=C(C1)C(=O)OC.Br
C07091,cis-Acetylacrylate,C5H6O3,Cytosol,9302,CN1C(=O)CCC(=N1)C(=O)N
C04706,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",C6H3ClO4,Cytosol,7279,C(C(CBr)Br)Br
